Chemical_Method (Junction),,,,
chemical_id (FK),method_id (FK),sample_volume,flow_rate,notes
Ammonia,NIOSH-6015,72 L,,
Ammonium Sulfamate,OSHA-ID-188,24 L,,
"*Arsenic
(inorganic compounds)",NIOSH-7300,"5-2,000 L @ 0.01 mg/m³",,
"*Arsenic
(inorganic compounds)",NIOSH-7900,"30-1,000 L @ 0.002 mg/m³",,
"*Arsenic
(organic compounds)",NIOSH-5022,"50-1,000 L @ 0.01 mg/m³",,
*Arsine,NIOSH-6001,0.1-10 L @ 0.05 ppm,,
Asbestos,NIOSH-7400,"Use equation in Step 4 of Sampling in Method to collect a fiber density of 100 to 1,300 fibers/mm2.",,
Asbestos,NIOSH-7402,"Use equation in Step 4 of Sampling in Method to collect a fiber density of 100 to 1,300 fibers/mm2.",,
*Benzene,EPA-TO-15,"Consult Lab for specific instructions for collecting grab, 8 hour or 24 hour collection times.",,
*Benzene,NIOSH-1501,5-30 L,<0.20 L/min,
Ethylbenzene,NIOSH-1501,1-24 L,<0.20 L/min,
Toluene,NIOSH-1501,1-8 L,<0.20 L/min,
"Xylenes:
m-Xylene",NIOSH-1501,2-23 L,<0.20 L/min,
"Xylenes:
o-Xylene",NIOSH-1501,2-23 L,<0.20 L/min,
"Xylene:
p-Xylene",NIOSH-1501,2-23 L,<0.20 L/min,
Styrene,NIOSH-1501,1-14 L,<1.00 L/min,
"*1,3 Butadiene",OSHA-ID-56,3 L,0.05 L/min,
"*1,3 Butadiene",NIOSH-1024,5-25 L at 100ppm,0.01 to 0.5 L/min,
"Butane
(n-butane)",OSHA-ID-PV2010,"3 L, 60 minutes at 0.05 L/min",0.05 L/min,
*Cadmium,NIOSH-7300,5-200 L @ 0.005 mg/m³,1-4 L/min,
*Cadmium,NIOSH-7048,"25-1,500 L @ 0.1 mg/m³",1-3 L/min,
Carbon Monoxide,OSHA-ID-209,NA,NA,
Chlordane,NIOSH-5510,10-200 L@0.5 mg/m³,0.5-1 L/min,
Chlorine,NIOSH-6011,8-360 L @ 0.1 ppm,0.3-1.0 L/min,
Chromium,NIOSH-7024,"10-1,000 L @0.5 mg/m³",1-3 L/min,
Chromium II,NIOSH-7024,"10-1,000 L @0.5 mg/m³",1-3 L/min,
Chromium III,NIOSH-7024,"10-1,000 L @0.5 mg/m³",1-3 L/min,
